,"avg_rating_time, ms","liked_films, ms","doc insertion time, ms"
0,26.51,0.2,7.92
1,27.56,0.02,2.01
2,19.26,0.02,1.34
3,18.22,0.02,1.54
4,22.96,0.02,2.22
5,18.9,0.02,1.63
6,23.13,0.02,2.53
7,14.65,0.02,1.41
8,26.28,0.02,1.47
9,19.96,0.02,0.95
10,15.8,0.02,1.22
11,10.19,0.02,1.31
12,9.87,0.02,1.68
13,13.16,0.02,1.31
14,11.38,0.02,1.91
15,18.57,0.05,3.24
16,12.35,0.02,3.42
17,11.73,0.02,1.83
18,12.21,0.02,1.17
19,8.34,0.02,1.75
20,14.21,0.02,1.12
21,15.61,0.02,1.18
22,9.24,0.02,1.78
23,9.95,0.02,1.46
24,14.3,0.02,1.53
25,9.8,0.02,1.19
26,9.09,0.02,1.21
27,14.32,0.02,1.17
28,10.41,0.02,0.85
29,8.95,0.02,1.15
30,14.25,0.02,1.39
31,7.89,0.02,1.59
32,8.04,0.02,1.43
33,13.33,0.02,1.51
34,10.66,0.02,1.29
35,7.19,0.02,4.85
36,10.96,0.02,2.64
37,8.17,0.02,0.96
38,3.84,0.02,0.83
39,7.37,0.02,0.92
40,13.72,0.02,1.38
41,7.2,0.02,1.38
42,10.45,0.02,1.56
43,10.43,0.02,1.89
44,10.49,0.02,1.66
45,13.71,0.02,1.4
46,9.93,0.02,1.3
47,10.3,0.02,0.91
48,7.02,0.02,1.41
49,8.62,0.02,1.35
50,8.93,0.02,1.36
51,13.55,0.02,1.68
52,8.42,0.02,1.89
53,7.99,0.02,1.09
54,7.35,0.02,1.47
55,13.82,0.02,0.98
56,10.54,0.02,1.73
57,10.58,0.02,4.34
58,12.6,0.02,3.96
59,7.56,0.02,1.67
60,7.81,0.02,1.32
61,9.35,0.02,7.28
62,7.76,0.02,2.24
63,7.32,0.02,1.63
64,12.3,0.02,1.01
65,12.12,0.02,0.93
66,7.18,0.02,1.38
67,9.38,0.02,1.07
68,5.06,0.02,1.07
69,5.56,0.02,1.02
70,10.44,0.02,1.83
71,9.47,0.02,2.2
72,9.98,0.02,2.14
73,8.76,0.02,1.02
74,14.14,0.02,1.05
75,5.66,0.02,2.62
76,8.34,0.02,1.65
77,11.45,0.02,1.14
78,14.69,0.02,2.05
79,9.78,0.02,1.37
80,9.06,0.02,1.93
81,6.87,0.02,1.99
82,13.61,0.02,1.32
83,9.2,0.02,1.53
84,10.63,0.02,4.17
85,9.04,0.02,2.83
86,5.92,0.02,2.48
87,10.53,0.02,2.57
88,7.26,0.02,1.23
89,7.1,0.02,3.99
90,12.52,0.02,1.03
91,9.48,0.02,1.56
92,7.49,0.02,1.25
93,6.23,0.02,1.28
94,6.15,0.02,1.79
95,11.0,0.02,1.75
96,6.78,0.02,1.4
97,6.74,0.02,1.19
98,6.26,0.02,5.81
99,6.38,0.02,2.19
